feature,importance
love,0.010766840233625246
fix,0.010246677414256264
game,0.0064690439200097965
fuck,0.006405222743893701
server,0.0058622646088733145
shit,0.005709087887568847
best,0.005680043110188653
good,0.005655046986541386
fun,0.005444393039841424
thank,0.004725991524591294
johnson,0.004376639159451932
great,0.004131561549715129
amazon,0.0041229154951393865
amazing,0.004046287079610859
wtf,0.003998911651508587
facebook,0.003919868212731319
nice,0.0038409524120231763
wow,0.0038135415923263053
excited,0.00380100630114063
wait,0.0035844690146873913
cant wait,0.0031894162155860694
eamaddennfl,0.003049598025881345
awesome,0.003010629788819102
please,0.0029842001144008965
google,0.0029640189802800105
com,0.002826937375358836
fifa,0.0028245169609703203
cant,0.002743349490194518
earned,0.0027198425562572574
check,0.002673777389926731
fucking,0.0026367953205197673
live,0.0026314129670836103
beautiful,0.0026233714463307334
cool,0.0026119149485464596
problem,0.0025688652679938394
johnson johnson,0.0024348366474719035
microsoft,0.002367538540820676
people,0.002365818835956276
player,0.0023270374296688527
thanks,0.002325564957854565
worst,0.002322487655833418
hate,0.0023152010769847426
achievement,0.0023075681978888688
borderland,0.0023029779020227467
nvidia,0.002267034413072996
verizon,0.0022412043781367425
suck,0.0022056910249499424
update,0.0021476486317557075
im,0.002132943387589721
favorite,0.0020854448059832486
