text,true_label,predicted_label,correct
call duty warzone livestream w sub youtubebhh_pjomu via please come watch amazing call duty warzone stream amazing streamer itd really really nice give view like well,Irrelevant,Positive,False
umm died said bug pictwittercombzmhzbadof,Neutral,Negative,False
nice motivational accessible nvidiaai product fair related tech talk nvidiacomenusgtckeyn interesting interactionsocial activity braindates dinner stranger free attendance university regrainfocuscomflownvidiagt,Neutral,Positive,False
best squad yet instagramcompbobt_eaaf,Irrelevant,Positive,False
could go wellor horribly wrong,Neutral,Negative,False
god,Negative,Positive,False
miss hearthstone simpler,Negative,Positive,False
wilson,Irrelevant,Positive,False
urgent care look microsoft team microsofts power platform help deliver quality care worldclass patient experience lnkdineazwmub,Positive,Neutral,False
joe buck excited hearthstone,Neutral,Positive,False
twittercompcgamerstatus hour workweek pretty bad,Irrelevant,Negative,False
p got fortnite alr rip xbox,Positive,Negative,False
dope puff great kid,Irrelevant,Positive,False
nice bug pictwittercommeophhpad,Negative,Positive,False
plague corruption amazon ny time bestseller list pictwittercommrgbni,Negative,Neutral,False
thank pictwittercomzwqorfkjn,Irrelevant,Positive,False
time play game mode tank hero v dp hero absolutely nut pictwittercombigxvdwbm,Positive,Negative,False
awesome bonecakeswith strawberry original maple syrup please,Irrelevant,Positive,False
death app storegooglcrgxc google playgooglyjvqxr game,Neutral,Negative,False
mixercomsirdoverut,Neutral,Positive,False
verizon wireless customer faced service issue peoria area company say dlvritrthqy,Neutral,Negative,False
,Negative,Positive,False
mori,Neutral,Positive,False
im offended,Negative,Positive,False
combining product content continuously optimized learn johnson johnson drove sale lift beauty sale lift otc learn bufflyfcqupt,Positive,Neutral,False
dusty depot,Neutral,Negative,False
madden curse broken give cover,Neutral,Negative,False
apple dont innovate anymore,Irrelevant,Negative,False
wow buddy,Irrelevant,Positive,False
hey dont get come say hi playing twitchtvcblack,Neutral,Negative,False
worst thing banned player didnt knew ban till app shown error playing non social medium watch news,Irrelevant,Negative,False
fuck mate pictwittercomrqoruiap,Irrelevant,Negative,False
extraordinary podcast deanna berg fight bilateral ovarian determination hold johnson johnson account negligence selling talcbased baby powder witnesspodcastscomshowsverified,Negative,Neutral,False
fuck missed,Positive,Negative,False
hilarious fuck,Positive,Negative,False
next major update pay tribute one world warcrafts best expansion denofgeekcomgameshearthst,Neutral,Positive,False
game look insane wtf,Positive,Negative,False
god let customize massive cock smh,Neutral,Negative,False
main reason wanting next god war eventually get announcement ill probably waiting especially since pc anyways overall im excited game though,Neutral,Positive,False
crazy disrespectful qbs could see field locker room,Neutral,Negative,False
dota making league legend look good rn,Negative,Positive,False
trippy storeplaystationcomenustidc,Neutral,Positive,False
rip whole inventory gamdom crash stay skinless forever,Neutral,Negative,False
true need lot support fix definitely nailed atmosphere ambiance vista incredible here hoping march th brings change game need pictwittercommghagdlem,Neutral,Negative,False
league legend latest champion colorful pop star smartroboticscomnglea,Irrelevant,Neutral,False
became top eu mmr leaderboard congrats naviggenreadtext,Neutral,Positive,False
sigh youre god damn idiot,Irrelevant,Negative,False
playing fifa today,Neutral,Negative,False
awesome gamer,Irrelevant,Positive,False
cant believe lied,Irrelevant,Negative,False
know historyunless involves chinabecause likewe investor shit,Neutral,Negative,False
congratulation publication day hope fabulous day book fly,Irrelevant,Positive,False
man wholesome,Positive,Irrelevant,False
aiiight,Neutral,Positive,False
carat tcw natural beautiful amethyst oval cabochon gem dvg dvg amazoncomdpbwgqys via,Neutral,Positive,False
amazing,Irrelevant,Positive,False
dick microsoft,Negative,Neutral,False
fucking thank,Negative,Positive,False
dont jump medaltvclips,Neutral,Negative,False
im wheezing,Neutral,Positive,False
chinese fan sad learn match china february march rescheduled pictwittercomhvatcpieov,Neutral,Negative,False
delay xbox series x whats point halo delayed,Negative,Neutral,False
becoming joke point havent heard anything since got back best give u actual information anything seems like havent listened feedback community want,Negative,Irrelevant,False
interesting,Irrelevant,Positive,False
want awesome hosting etc visit link zaphostingcomsmithtainment use coupon code guushi checkout,Neutral,Positive,False
advice suck like vmtiktokcomzmjfqkrpy,Irrelevant,Negative,False
xbox series leak reveals price dlvritrgpdy,Irrelevant,Neutral,False
sony dropping preorders fearing series card hoping people buy console instead rtx lol one hell month wasnt nvidia neither m sony would pull veil price preorders,Negative,Neutral,False
nice demon hunter blood elf statue painter photographer helennmay sculptor vladislav kortikov pictwittercomfksdaynb,Irrelevant,Positive,False
upsetting,Negative,Positive,False
wtf happened sjdkdks storeplaystationcomengbtidc,Neutral,Negative,False
reading mistake beat fifa,Irrelevant,Negative,False
fucking finallllyyyyyyyyy,Positive,Negative,False
microsoft apparently firstparty xbox studio doesnt add purexboxcomnewsm,Irrelevant,Negative,False
